symbol,isin,name,market
ESON,PTESO0AM0000,ESTORIL SOL N,Euronext Lisbon
EFI,FR0000061475,EURASIA FONC INV,Euronext Paris
ALEUA,FR0010844001,EURASIA GROUPE,Euronext Growth Paris
RF,FR0000121121,EURAZEO,Euronext Paris
EUR,FR0000054678,EURO RESSOURCES,Euronext Paris
ALERS,FR0013240934,EUROBIO-SCIENTIFIC,Euronext Growth Paris
ECT,GB00B94QM994,EUROCASTLE INVEST.,Euronext Amsterdam
ECMPA,NL0015000K93,EUROCOMMERCIAL,Euronext Amsterdam
ALECR,FR0013256518,EUROFINS CEREP,Euronext Growth Paris
ERFNV,FR0014006O73,EUROFINS SCIE NV22,Euronext Paris
ERF,FR0014000MR3,EUROFINS SCIENT.,Euronext Paris
MLERO,FR0010157115,EUROLAND CORPORATE,Euronext Access Paris
MLCAN,ES0105586004,EUROLOG CANOLA,Euronext Access Paris
ALEMG,FR0000075343,EUROMEDIS GROUPE,Euronext Growth Paris
EURN,BE0003816338,EURONAV,Euronext Brussels
ENX,NL0006294274,EURONEXT,Euronext Paris
ENXP,NL0006294274,EURONEXT,Euronext Lisbon
ALECP,FR0010490920,EUROPACORP,Euronext Growth Paris
EUCAR,FR0012789949,EUROPCAR MOBILITY,Euronext Paris
ALEUP,FR0013514114,EUROPLASMA,Euronext Growth Paris
ETL,FR0010221234,EUTELSAT COMMUNIC.,Euronext Paris
EFUEL,DK0061414711,EVERFUEL,Euronext Growth Oslo
EGR,FR0000035784,EVERGREEN,Euronext Paris
MLEVE,FR0000044745,EVERSET,Euronext Access Paris
ALTVO,FR0004166197,EVOLIS,Euronext Growth Paris
EVS,BE0003820371,EVS BROADC.EQUIPM.,Euronext Brussels
ALEXA,FR0000064164,EXACOMPTA CLAIREF.,Euronext Growth Paris
EXTX,NO0010852213,EXACT THERAPEUTICS,Euronext Growth Oslo
EXN,FR0014005DA7,EXCLUSIVE NETWORKS,Euronext Paris
EXE,FR0004527638,EXEL INDUSTRIES,Euronext Paris
EXM,BE0003808251,EXMAR,Euronext Brussels
EXPL,FR0014003AQ4,EXPLOSIFS PROD.CHI,Euronext Paris
ALPHI,ES0105029005,FACEPHI,Euronext Growth Paris
FAGR,BE0003874915,FAGRON,Euronext Brussels
MLECE,ES0105553004,FAIFEY INVEST,Euronext Access Paris
MLFMV,PTFNV1AM0002,FARMINVESTE,Euronext Access Lisbon
ALFBA,FR0004034593,FASHION B AIR,Euronext Growth Paris
FAST,NL0013654809,FASTNED,Euronext Amsterdam
EO,FR0000121147,FAURECIA,Euronext Paris
FAUV,FR0000063034,FAUVET GIREL,Euronext Paris
FAYE,FR0000031973,FAYENC.SARREGUEMI.,Euronext Paris
EG7,IE0003290289,FBD HOLDINGS PLC,Euronext Dublin
MLFDV,FR0012300424,FD,Euronext Access Paris
GYQ,GB0031477770,FD TECHNOLOGIES,Euronext Growth Dublin
FDJ,FR0013451333,FDJ,Euronext Paris
FCMC,FR0000062101,FERM.CAS.MUN.CANNE,Euronext Paris
FALG,FR0011271600,FERMENTALG,Euronext Paris
SACI,FR0000061418,FIDUCIAL OFF.SOL.,Euronext Paris
ORIA,FR0000060535,FIDUCIAL REAL EST.,Euronext Paris
FGA,FR0011665280,FIGEAC AERO,Euronext Paris
BERR,FR0000062341,FIN.ETANG BERRE,Euronext Paris
EBPF,FR0000062507,FIN.ETANG BERRE PF,Euronext Paris
FOAF,SN0000033192,FIN.OUEST AFRICAIN,Euronext Paris
FINM,FR0000060824,FINANCIERE MARJOS,Euronext Paris
FNTS,FR0000035123,FINATIS,Euronext Paris
MLFXO,FR0010487272,FINAXO,Euronext Access Paris
FIPP,FR0000038184,FIPP,Euronext Paris
MLFIR,CH0120879058,FIRSTCAUTION,Euronext Access Paris
ALFLE,FR0000074759,FLEURY MICHON,Euronext Growth Paris
FLEXD,PTFXD0AM0018,FLEXDEAL,Euronext Lisbon
FLOB,BE0003215143,FLORIDIENNE,Euronext Brussels
FLOW,NL0011279492,FLOW TRADERS,Euronext Amsterdam
UNI,BE0003847648,FLOWSPARKS,Euronext Access Brussels
FLTR,IE00BWT6H894,FLUTTER ENTERTAIN,Euronext Dublin
FLUX,BE0974265945,FLUXYS BELGIUM D,Euronext Brussels
FLYR,NO0010931900,FLYR,Euronext Growth Oslo
FLYRT,NO0011198111,FLYR TR,Euronext Growth Oslo
FNAC,FR0011476928,FNAC DARTY,Euronext Paris
FNG,BE0974332646,FNG NV,Euronext Brussels
MLFNP,FR0013230067,FNPTECHNOLOGIESSA,Euronext Access Paris
ALFOC,FR0012419307,FOCUS HOME INT,Euronext Growth Paris
LEBL,FR0000065930,FONCIERE 7 INVEST,Euronext Paris
FATL,FR0013455482,FONCIERE ATLAND,Euronext Paris
EURS,FR0000038499,FONCIERE EURIS,Euronext Paris
INEA,FR0010341032,FONCIERE INEA,Euronext Paris
FLY,FR0000033409,FONCIERE LYONNAISE,Euronext Paris
MLVIN,FR0011605617,FONCIERE VINDI,Euronext Access Paris
SPEL,FR0000053944,FONCIERE VOLTA,Euronext Paris
FORE,CI0000053161,FORESTIERE EQUAT.,Euronext Paris
FFARM,NL0011832811,FORFARMERS,Euronext Amsterdam
FORSE,FR0014005SB3,FORSEE POWER,Euronext Paris
FOU,BE0003752665,FOUNTAIN,Euronext Brussels
ALFPC,FR0010485268,FOUNTAINE PAJOT,Euronext Growth Paris
LFDE,FR0013030152,FRANCAISE ENERGIE,Euronext Paris
MLFSG,FR0013222346,FRANCE SOIR GROUPE,Euronext Access Paris
MLFTI,FR0010823724,FRANCE TOURISME,Euronext Access Paris
ALFRE,FR0004187367,FREELANCE.COM,Euronext Growth Paris
FREY,FR0010588079,FREY,Euronext Paris
FUR,NL00150003E1,FUGRO,Euronext Amsterdam
FCP,PTFCP0AM0008,FUT.CLUBE PORTO,Euronext Lisbon
MLGAI,FR0000053415,G.A.I.,Euronext Access Paris
GLPG,BE0003818359,GALAPAGOS,Euronext Amsterdam
MLGAL,FR0011100759,GALEO,Euronext Access Paris
GALIM,FR0000030611,GALIMMO,Euronext Paris
GALP,PTGAL0AM0009,GALP ENERGIA-NOM,Euronext Lisbon
ALBI,FR0000124414,GASCOGNE,Euronext Growth Paris
GAM,FR0000034894,GAUMONT,Euronext Paris
ALGAU,FR0013495298,GAUSSIN,Euronext Growth Paris
GBLB,BE0003797140,GBL,Euronext Brussels
GEA,FR0000053035,GEA GRENOBL.ELECT.,Euronext Paris
ALGEC,FR0000079634,GECI INTL,Euronext Growth Paris
GFC,FR0010040865,GECINA,Euronext Paris
GNE,US3696043013,GENERAL ELECTRIC,Euronext Paris
GENX,FR0010501692,GENERIX GROUP,Euronext Paris
GNRO,CH0308403085,GENEURO,Euronext Paris
GNFT,FR0004163111,GENFIT,Euronext Paris
GENK,BE0003740546,GENK LOGIST. CERT,Euronext Brussels
GV,FR0011799907,GENOMIC VISION,Euronext Paris
ALGEN,FR0004053510,GENOWAY,Euronext Growth Paris
SIGHT,FR0013183985,GENSIGHT BIOLOGICS,Euronext Paris
MLGEQ,PTGVE1AE0009,GENTLEMENS EQUITY,Euronext Access Paris
GOJXN,NL0000430106,GEOJUNXION,Euronext Amsterdam
GEPBS,FR0013483047,GEP BSA 2020,Euronext Growth Paris
GET,FR0010533075,GETLINK SE,Euronext Paris
ALGEV,FR0000033888,GEVELOT,Euronext Growth Paris
GIGA,NO0011013765,GIGANTE SALMON,Euronext Growth Oslo
GIMB,BE0003699130,GIMV,Euronext Brussels
GLO,FR0000066672,GL EVENTS,Euronext Paris
GL9,IE0000669501,GLANBIA PLC,Euronext Dublin
GVR,IE00BD6JX574,GLENVEAGH PROP.PLC,Euronext Dublin
GLINT,PTPAD0AM0007,GLINTT,Euronext Lisbon
ALGBE,FR0011052257,GLOBAL BIOENERGIES,Euronext Growth Paris
MLNDG,ES0105537007,GLOBAL PIELAGO,Euronext Access Paris
GNP,NO0010886013,GNP ENERGY,Euronext Growth Oslo
ALGLD,FR0011208693,GOLD BY GOLD,Euronext Growth Paris
GEOS,NO0010813843,GOLDEN ENERGY OFF,Euronext Growth Oslo
MLGML,FR0013371507,GOUR MEDICAL,Euronext Access Paris
GPE,FR0010214064,GPE GROUP PIZZORNO,Euronext Paris
ALPAR,FR0013204070,GPE PAROT (AUTO),Euronext Growth Paris
GRVO,FR0000065971,GRAINES VOLTZ,Euronext Paris
8GW,IE00B1FR8863,GREAT WESTERN MIN.,Euronext Growth Dublin
MLCMG,FR0013406881,GRECEMAR,Euronext Access Paris
GEM,NO0010907744,GREEN MINERALS,Euronext Growth Oslo
GRP,IE00BF2NR112,GREENCOAT REN.,Euronext Growth Dublin
GVOLT,PTGNV0AM0001,GREENVOLT,Euronext Lisbon
GREEN,BE0003765790,GREENYARD,Euronext Brussels
ALGRO,FR0014005ZM5,GROLLEAU,Euronext Growth Paris
GRONG,NO0010636491,GRONG SPAREBANK,Euronext Growth Oslo
MLSFI,FR00140066X4,GROUP SFIT,Euronext Access Paris
ALKEM,FR00140069V2,GROUPE BERKEM,Euronext Growth Paris
MLGRC,FR0000076960,GROUPE CARNIVOR,Euronext Access Paris
MLCAS,FR0014003RM7,GROUPE CASOL,Euronext Access Paris
CEN,FR0000036675,GROUPE CRIT,Euronext Paris
FLO,FR0014004X25,GROUPE FLO,Euronext Paris
GOE,FR0000062671,GROUPE GORGE,Euronext Paris
ALGIL,FR0012819381,GROUPE GUILLIN,Euronext Growth Paris
IRD,FR0000124232,GROUPE IRD,Euronext Paris
GJAJ,FR0004010338,GROUPE JAJ,Euronext Paris
ALLDL,FR0000075442,GROUPE LDLC,Euronext Growth Paris
OPN,FR0004050300,GROUPE OPEN,Euronext Paris
PARP,FR0012612646,GROUPE PARTOUCHE,Euronext Paris
MLPVG,FR0010529719,GROUPE PLUS-VALUES,Euronext Access Paris
SFPI,FR0004155000,GROUPE SFPI,Euronext Paris
ALGTR,FR0013429404,GROUPE TERA,Euronext Growth Paris
ALIMO,FR0014000RP6,GROUPIMO,Euronext Growth Paris
GTBP,US36254L2097,GT BIOPHARMA INC,Euronext Paris
GTT,FR0011726835,GTT,Euronext Paris
MLGDI,LU1840650458,GUANDAO PUER INVES,Euronext Access Paris
GBT,FR0000032526,GUERBET,Euronext Paris
GUI,FR0000066722,GUILLEMOT,Euronext Paris
ALHEO,CA4433003064,H2O INNOVATION INC,Euronext Growth Paris
HAL,BMG455841020,HAL TRUST,Euronext Amsterdam
ALHGO,GB00BMDXQ672,HAMILTON GLOBAL OP,Euronext Growth Paris
HMSO,GB00BK7YQK64,HAMMERSON PLC,Euronext Dublin
HAMO,BE0974352842,HAMON,Euronext Brussels
HMONY,NO0010921299,HARMONYCHAIN,Euronext Growth Oslo
PIG,FR0000066755,HAULOTTE GROUP,Euronext Paris
HAV,NO0010931918,HAV GROUP,Euronext Growth Oslo
HKY,NO0011045429,HAVILA KYSTRUTEN,Euronext Growth Oslo
HDF,FR0014003VY4,HDF,Euronext Paris
MLAHC,FR0013251584,HEALTH,Euronext Access Paris
HBCN,IE00014QAJZ5,HEALTHBEACON SHA,Euronext Growth Dublin
MLHAY,ES0105498002,HEALTHCARE ACTIVOS,Euronext Access Paris
HEGA,KYG4406A1022,HEDOSOPHIA ORD SHA,Euronext Amsterdam
HEGAU,KYG4406A1287,HEDOSOPHIA UNITS,Euronext Amsterdam
HEGAW,KYG4406A1105,HEDOSOPHIA WARRANT,Euronext Amsterdam
HEIJM,NL0009269109,HEIJMANS,Euronext Amsterdam
HEIA,NL0000009165,HEINEKEN,Euronext Amsterdam
HEIO,NL0000008977,HEINEKEN HOLDING,Euronext Amsterdam
ALHRG,FR0000066540,HERIGE,Euronext Growth Paris
RMS,FR0000052292,HERMES INTL,Euronext Paris
HPUR,NO0010904923,HEXAGON PURUS,Euronext Growth Oslo
HEXA,FR0004159473,HEXAOM,Euronext Paris
ALHF,FR0000038531,HF COMPANY,Euronext Growth Paris
HBRN,IE00BGHQ1986,HIBERNIA REIT PLC,Euronext Dublin
HCO,FR0000054231,HIGH CO,Euronext Paris
HSHIP,BMG4660A1036,HIMALAYA SHIPPING,Euronext Growth Oslo
ALHIO,FR0000077562,HIOLLE INDUSTRIES,Euronext Growth Paris
ALHYP,FR0012821916,HIPAY GROUP,Euronext Growth Paris
ALHIT,FR0010396309,HITECHPROS,Euronext Growth Paris
MLHK,DE000A11Q133,HK,Euronext Access Paris
MLHBB,FR0000051302,HOCHE BAINS L.BAIN,Euronext Access Paris
HAUTO,NO0011082075,HÖEGH AUTOLINERS,Euronext Growth Oslo
ALHGR,FR0013451044,HOFFMANN,Euronext Growth Paris
HOLN,CH0012214059,Holcim Ltd,Euronext Paris
HOLCO,NL0000440311,HOLLAND COLOURS,Euronext Amsterdam
MLHCF,FR0012336691,HOME CONCEPT,Euronext Access Paris
HOMI,BE0003760742,HOME INVEST BE.,Euronext Brussels
MLHPE,FR0010312181,HOPENING,Euronext Access Paris
MLHPI,FR0014000U63,HOPIUM,Euronext Access Paris
HOP,FR0000065278,HOPSCOTCH GROUPE,Euronext Paris
HRGI,NO0010917339,HORISONT ENERGI,Euronext Growth Oslo
HSW,GB00BYYN4225,HOSTELWORLD GROUP,Euronext Dublin
MLHMC,FR0006226791,HOT.MAJESTIC CANNE,Euronext Access Paris
MLHOT,FR0000053738,HOTELIM,Euronext Access Paris
HDP,FR0004165801,HOTELS DE PARIS,Euronext Paris
MLHIN,FR0006563904,HOTL.IMMOB.NICE,Euronext Access Paris
HOC,NO0010781818,HOUSE OF CONTROL,Euronext Growth Oslo
HUDL,NO0010859648,HUDDLESTOCK FINTEC,Euronext Growth Oslo
HDLY,NO0010776990,HUDDLY,Euronext Growth Oslo
HDG,ANN4327C1220,HUNTER DOUGLAS,Euronext Amsterdam
HUNDP,ANN4327C1303,HUNTER DOUGLAS,Euronext Amsterdam
HUNT,NO0010283211,HUNTER GROUP,Euronext Expand Oslo
HYSG,GB00BYN5BY03,HYBRID SOFTWARE GR,Euronext Brussels
ALHYG,FR0004153930,HYBRIGENICS,Euronext Growth Paris
HYDRA,NL0009391242,HYDRATEC,Euronext Amsterdam
MLHYD,FR0000064735,HYDRAULIQUE PB,Euronext Access Paris
MLHYE,FR0005843125,HYDRO-EXPLOIT.,Euronext Access Paris
ALHRS,FR0014001PM5,HYDROGEN REFUELING,Euronext Growth Paris
HYPRO,NO0010892359,HYDROGENPRO,Euronext Growth Oslo
HYL,BE0974363955,HYLORIS,Euronext Brussels
HYN,NO0010920945,HYNION,Euronext Growth Oslo
ALICR,FR0014005IU4,I.CERAM,Euronext Growth Paris
I2PO,FR0014004J15,I2PO SHARES,Euronext Paris
I2POW,FR0014004JF6,I2PO WARRANTS,Euronext Paris
ALI2S,FR0005854700,I2S,Euronext Growth Paris
MLINT,ES0105479002,IANTE INVESTMENTS,Euronext Access Paris
IBAB,BE0003766806,IBA,Euronext Brussels
ICAD,FR0000035081,ICADE,Euronext Paris
IFISH,NO0010884794,ICE FISH FARM,Euronext Growth Oslo
ICEGR,NO0010734742,ICE GROUP,Euronext Expand Oslo
ISLAX,NO0010724701,ICELANDIC SALMON,Euronext Growth Oslo
IDL,FR0010929125,ID LOGISTICS GROUP,Euronext Paris
IDIP,FR0000051393,IDI,Euronext Paris
MLIDS,FR0000079691,IDS,Euronext Access Paris
ALIDS,FR0000062184,IDSUD,Euronext Growth Paris
IEP,BE0003748622,IEP INVEST,Euronext Brussels
IEX,NL0010556726,IEX GROUP NV,Euronext Amsterdam
IGE,FR0000030827,IGE + XAO,Euronext Paris
MLABC,ES0105551008,IGIS NEPTUNE,Euronext Access Paris
ALIKO,FR00140048X2,IKONISYS,Euronext Growth Paris
ALIE,IT0005380602,ILBE,Euronext Growth Paris
MLIML,FR0010086371,IMALLIANCE,Euronext Access Paris
IMCD,NL0010801007,IMCD,Euronext Amsterdam
NK,FR0000120859,IMERYS,Euronext Paris
MLIPP,FR0006859039,IMM.PARIS.PERLE,Euronext Access Paris
ALIMR,FR0013060100,IMMERSION,Euronext Growth Paris
MCC,BE0974287196,IMMO MCC,Euronext Brussels
IMMOU,BE0003893139,IMMO MOURY,Euronext Brussels
IMDA,FR0000033243,IMMOB.DASSAULT,Euronext Paris
IMMO,BE0003599108,IMMOBEL,Euronext Brussels
IMMOP,BE0003866838,IMMOPOOL,Euronext Expert Market
GPA,PTGPA0AP0007,IMOB.C GRAO PARA,Euronext Lisbon
ALIMP,FR0013470168,IMPLANET,Euronext Growth Paris
MLIMP,FR0000065773,IMPRIMERIE CHIRAT,Euronext Access Paris
MLIFS,ES0105590006,IMPULSE FITNESS,Euronext Access Paris
INA,PTINA0AP0008,INAPA-INV.P.GESTAO,Euronext Lisbon
INCLU,BE0974374069,INCLUSIO SA/NV,Euronext Brussels
INFE,FR0000066219,INDLE FIN.ENTREPR.,Euronext Paris
INDCT,NO0010536048,INDUCT,Euronext Growth Oslo
MLIFC,FR0011158823,INFOCLIP,Euronext Access Paris
INF,FR0000071797,INFOTEL,Euronext Paris
INGA,NL0011821202,ING GROEP N.V.,Euronext Amsterdam
MLINM,ES0105511002,INMARK,Euronext Access Paris
MLISP,ES0105473005,INMOSUPA,Euronext Access Paris
IPH,FR0010331421,INNATE PHARMA,Euronext Paris
ALINN,FR0000064297,INNELEC MULTIMEDIA,Euronext Growth Paris
MLIDP,GB00BT9PTW34,INNOVADERMA PLC,Euronext Access Paris
MLIRF,IT0005391161,INNOVATIVE RFK SPA,Euronext Access Paris
INPST,LU2290522684,INPOST,Euronext Amsterdam
INSTA,NO0010762792,INSTABANK,Euronext Growth Oslo
ALLUX,FR0000060451,INSTALLUX,Euronext Growth Paris
ALINT,FR0010908723,INTEGRAGEN,Euronext Growth Paris
IWS,NO0010955883,INTEGRATED WIND SO,Euronext Growth Oslo
MLVIE,FR0014003FN0,INTEGRITAS VIAGER,Euronext Access Paris
ITP,FR0004024222,INTERPARFUMS,Euronext Paris
INTER,NL0010937058,INTERTRUST,Euronext Amsterdam
INTO,BE0003746600,INTERVEST OFF-WARE,Euronext Brussels
ITXT,FR0000064958,INTEXA,Euronext Paris
ALINS,FR0011179886,INTRASENSE,Euronext Growth Paris
IVA,FR0013233012,INVENTIVA,Euronext Paris
ALINV,BE0974299316,INVIBES ADVERTSING,Euronext Growth Paris
MLIOC,BE6200101556,IOC HOLDING,Euronext Access Paris
MLIPO,ES0105417002,IPOSA PROPERTIES,Euronext Access Paris
IPN,FR0010259150,IPSEN,Euronext Paris
IPS,FR0000073298,IPSOS,Euronext Paris
IPSNV,FR00140078W1,IPSOS NV22,Euronext Paris
IR5B,IE00BLP58571,IRISH CONT. GP.,Euronext Dublin
IRES,IE00BJ34P519,IRISH RES. PROP.,Euronext Dublin
ALISP,ES0109429037,ISPD,Euronext Growth Paris
ALITL,FR0000072597,IT LINK,Euronext Growth Paris
MLITN,IT0005336521,ITALY INNOVAZIONI,Euronext Access Paris
ITE,FR0004026151,ITESOFT,Euronext Paris
JBOG,FR0012872141,JACQUES BOGART,Euronext Paris
JCQ,FR0000033904,JACQUET METALS,Euronext Paris
DEC,FR0000077919,JC DECAUX SA.,Euronext Paris
JDEP,NL0014332678,JDE PEET'S,Euronext Amsterdam
JEN,BE0003858751,JENSEN-GROUP,Euronext Brussels
MLJSA,FR0010680033,JSA TECHNOLOGY,Euronext Access Paris
TKWY,NL0012015705,JUST EAT TAKEAWAY,Euronext Amsterdam
KAL,NO0010874597,KALERA,Euronext Growth Oslo
ALKAL,FR0010722819,KALRAY,Euronext Growth Paris
KOF,FR0004007813,KAUFMAN ET BROAD,Euronext Paris
KBC,BE0003565737,KBC,Euronext Brussels
KBCA,BE0003867844,KBC ANCORA,Euronext Brussels
KENDR,NL0000852531,KENDRION,Euronext Amsterdam
KMR,IE00BDC5DG00,KENMARE RESOURCES,Euronext Dublin
KER,FR0000121485,KERING,Euronext Paris
ALKLK,FR0013156007,KERLINK,Euronext Growth Paris
KRZ,IE0004906560,KERRY GROUP PLC,Euronext Dublin
ALKEY,FR0004029411,KEYRUS,Euronext Growth Paris
KEYW,BE0003880979,KEYWARE TECH.,Euronext Brussels
KIN,BE0974274061,KINEPOLIS GROUP,Euronext Brussels
KRX,IE0004927939,KINGSPAN GROUP PLC,Euronext Dublin
ALKKO,FR0013374667,KKO INTERNATIONAL,Euronext Growth Paris
ALKLA,FR0011038348,KLARSEN,Euronext Growth Paris
LI,FR0000121964,KLEPIERRE,Euronext Paris
ALSIM,GB00B19RTX44,KLIMVEST,Euronext Growth Paris
ALKOM,ES0105425005,KOMPUESTOS,Euronext Growth Paris
KORI,FR0010386334,KORIAN,Euronext Paris
KPN,NL0000009082,KPN KON,Euronext Amsterdam
KRAB,NO0010815103,KRAFT BANK,Euronext Growth Oslo
MLKTS,ES0105536009,KTESIOS REAL ESTAT,Euronext Access Lisbon
ALVAP,FR0013419876,KUMULUS VAPE,Euronext Growth Paris
VAPBS,FR0014001KF0,KUMULUSBSA2020,Euronext Growth Paris
KYOTO,NO0010936750,KYOTO GROUP,Euronext Growth Oslo
OR,FR0000120321,L'OREAL,Euronext Paris
ALPER,NL0012191662,LA PERLA FASHION,Euronext Growth Paris
LACR,FR0000066607,LACROIX GROUP,Euronext Paris
MMB,FR0000130213,LAGARDERE SA,Euronext Paris
ALLAN,FR0004027068,LANSON-BCC,Euronext Growth Paris
ALLGO,FR0013308582,LARGO,Euronext Growth Paris
LAT,FR0000032278,LATECOERE,Euronext Paris
LPE,FR0006864484,LAURENT-PERRIER,Euronext Paris
LVIDE,NL0010545679,LAVIDE HOLDING,Euronext Amsterdam
LOUP,FR0013204336,LDC,Euronext Paris
ALTAN,FR0000075673,LE TANNEUR,Euronext Growth Paris
LBON,FR0000121295,LEBON,Euronext Paris
LSS,FR0000065484,LECTRA,Euronext Paris
LSSNV,FR00140078U5,LECTRA NV22,Euronext Paris
LR,FR0010307819,LEGRAND,Euronext Paris
MLPAP,FR0014003I41,LES AGENCES DE PAP,Euronext Access Paris
ALLHB,FR0007080254,LES HOTELS BAVEREZ,Euronext Growth Paris
TBMBT,FR0013483401,LESTQBLANC202212BS,Euronext Growth Paris
ALLEX,FR0000033599,LEXIBOOK LINGUIST.,Euronext Growth Paris
LIFE,NO0010591191,LIFECARE,Euronext Growth Oslo
LIN,FR0004156297,LINEDATA SERVICES,Euronext Paris
LIG,PTLIG0AE0002,LISGRAFICA,Euronext Lisbon
FII,FR0000050353,LISI,Euronext Paris
LIT,PTLIT0AE0005,LITHO FORMAS,Euronext Access Lisbon
ALLLN,ES0105089009,LLEIDA,Euronext Growth Paris
LNA,FR0004170017,LNA SANTE,Euronext Paris
MLLOI,FR0004155208,LOCASYSTEM INTL,Euronext Access Paris
ALLOG,FR0000044943,LOGIC INSTRUMENT,Euronext Growth Paris
MLLOG,ES0105333001,LOGIS CONFORT,Euronext Access Paris
MLCAC,FR0006205019,LOMBARD ET MEDOT,Euronext Access Paris
LOTB,BE0003604155,LOTUS BAKERIES,Euronext Brussels
BOLS,NL0010998878,LUCASBOLS,Euronext Amsterdam
ALUCI,FR0011884378,LUCIBEL,Euronext Growth Paris
LUCBS,FR0013525953,LUCIBEL BS,Euronext Growth Paris
LUMI,NO0010927288,LUMI GRUPPEN,Euronext Growth Oslo
LBIRD,FR0000038242,LUMIBIRD,Euronext Paris
MLV4S,BE6201089735,LV4S,Euronext Access Paris
MC,FR0000121014,LVMH,Euronext Paris
LYS,FR0013233475,LYSOGENE,Euronext Paris
LYTIX,NO0010405780,LYTIX BIOPHARMA,Euronext Growth Oslo
MVW,NO0010976343,M VEST WATER,Euronext Growth Oslo
MRM,FR0000060196,M.R.M,Euronext Paris
ALMII,FR0013270626,M2I,Euronext Growth Paris
MAAT,FR0012634822,MAAT PHARMA,Euronext Paris
MLMAD,FR0010328302,MADE,Euronext Access Paris
ALMNG,FR0010812230,MADVERTISE,Euronext Growth Paris
MLMGL,FR0010827741,MAGILLEM,Euronext Access Paris
MLMAB,FR0000061657,MAIS.ANTOINE BAUD,Euronext Access Paris
MLCLI,FR0011092089,MAISON CLIO BLUE,Euronext Access Paris
MDM,FR0013153541,MAISONS DU MONDE,Euronext Paris
MAJ,LU2382956378,MAJOREL GROUP LUX,Euronext Amsterdam
ALMAK,FR0000072993,MAKHEIA GROUP,Euronext Growth Paris
ALMKS,ES0105463006,MAKING SCIENCE,Euronext Growth Paris
MLC,IE00BVGC3741,MALIN CORP. PLC,Euronext Growth Dublin
MALT,FR0000030074,MALTERIES FCO-BEL.,Euronext Paris
MTU,FR0000038606,MANITOU BF,Euronext Paris
MAN,FR0000032302,MANUTAN INTL,Euronext Paris
MLMAQ,ES0105447009,MAQ ADMON. URBANAS,Euronext Access Paris
ALMAR,FR0013400835,MARE NOSTRUM,Euronext Growth Paris
MAREL,IS0000000388,MAREL,Euronext Amsterdam
IAM,MA0000011488,MAROC TELECOM,Euronext Paris
MAR,PTMFR0AM0003,MARTIFER,Euronext Lisbon
MAS,NO0010974983,MÅSØVAL,Euronext Growth Oslo
ALMAS,FR0004155687,MASTRAD,Euronext Growth Paris
MASBS,FR0013472446,MASTRAD BS29,Euronext Growth Paris
MKEA,FR0010609263,MAUNA KEA TECH,Euronext Paris
MAU,FR0000051070,MAUREL ET PROM,Euronext Paris
MBWS,FR0000060873,MBWS,Euronext Paris
MBWBT,FR0013404944,MBWS BSA 2022,Euronext Paris
MBWSZ,FR0013066313,MBWS BSAR 2023,Euronext Paris
MCPHY,FR0011742329,MCPHY ENERGY,Euronext Paris
MDXH,BE0003844611,MDXHEALTH,Euronext Brussels
ALMDP,FR0010844464,MEDESIS PHARMA,Euronext Growth Paris
EDI,FR0000064404,MEDIA 6,Euronext Paris
MCP,PTGMC0AM0003,MEDIA CAPITAL,Euronext Lisbon
MLLAB,IT0005324105,MEDIA LAB,Euronext Access Paris
ALKER,IT0005380438,MEDIA MAKER,Euronext Growth Paris
ALMDT,FR0011049824,MEDIANTECHNOLOGIES,Euronext Growth Paris
MEDCL,FR0004065605,MEDINCELL,Euronext Paris
MLMCE,IT0004844848,MEDIOCREDITO EUROP,Euronext Access Paris
MELE,BE0165385973,MELEXIS,Euronext Brussels
MEMS,FR0010298620,MEMSCAP REGPT,Euronext Paris
MERY,FR0010241638,MERCIALYS,Euronext Paris
MRK,US58933Y1055,MERCK AND CO INC,Euronext Paris
MLMIV,ES0105559001,MERIDIA RE IV,Euronext Access Paris
MRL,ES0105025003,MERLIN PROPERTIES,Euronext Lisbon
MRN,FR0000039620,MERSEN,Euronext Paris
METEX,FR0004177046,METABOLIC EXPLORER,Euronext Paris
MLETA,FR0010492181,METALLIANCE,Euronext Access Paris
ALMET,FR0011217710,METHANOR,Euronext Growth Paris
ALMTH,IT0004615396,METHORIOS CAPITAL,Euronext Growth Paris
MLMIB,BE0974328602,METRICS IN BALANCE,Euronext Access Paris
MMT,FR0000053225,METROPOLE TV,Euronext Paris
ALMGI,FR0010204453,MG INTERNATIONAL,Euronext Growth Paris
ALMDG,FR0010353888,MGI DIGITAL GRAPHI,Euronext Growth Paris
ML,FR0000121261,MICHELIN,Euronext Paris
MUN,FR0000077570,MICROPOLE,Euronext Paris
MLSKN,GB00BF553726,MICROSKIN,Euronext Access Paris
MLNMA,FR0010500363,MIGUET ET ASSOCIES,Euronext Access Paris
MIKO,BE0003731453,MIKO,Euronext Brussels
ALMLB,FR0013053535,MILIBOO,Euronext Growth Paris
MIO,IE00BD64C665,MINCON GROUP PLC,Euronext Growth Dublin
ALBUD,FR0004172450,MINT,Euronext Growth Paris
MNTR,NO0010895022,MINTRA HOLDING,Euronext Growth Oslo
MITRA,BE0974283153,MITHRA,Euronext Brussels
NEDSE,NL0009312842,MKB Nedsense,Euronext Amsterdam
MLAMY,FR0013268067,MLD,Euronext Access Paris
